,gamma,gae_lambda,num_envs,avg_reward
0,0.9,0.9,4.0,7.5
1,0.9,0.9,8.0,12.583333333333334
2,0.9,0.9,12.0,6.888888888888889
3,0.9,0.95,4.0,11.083333333333332
4,0.9,0.95,8.0,9.833333333333332
5,0.9,0.95,12.0,9.944444444444445
6,0.9,0.99,4.0,9.583333333333332
7,0.9,0.99,8.0,9.0
8,0.9,0.99,12.0,13.527777777777777
9,0.9,0.999,4.0,6.25
10,0.9,0.999,8.0,1.958333333333333
11,0.9,0.999,12.0,10.36111111111111
12,0.95,0.9,4.0,6.25
13,0.95,0.9,8.0,13.958333333333332
14,0.95,0.9,12.0,8.61111111111111
15,0.95,0.95,4.0,4.499999999999999
16,0.95,0.95,8.0,15.75
17,0.95,0.95,12.0,8.0
18,0.95,0.99,4.0,8.5
19,0.95,0.99,8.0,14.041666666666664
20,0.95,0.99,12.0,20.333333333333332
21,0.95,0.999,4.0,8.666666666666666
22,0.95,0.999,8.0,16.708333333333336
23,0.95,0.999,12.0,15.0
24,0.99,0.9,4.0,12.5
25,0.99,0.9,8.0,21.541666666666664
26,0.99,0.9,12.0,12.527777777777779
27,0.99,0.95,4.0,20.25
28,0.99,0.95,8.0,25.125
29,0.99,0.95,12.0,20.63888888888889
30,0.99,0.99,4.0,10.5
31,0.99,0.99,8.0,20.0
32,0.99,0.99,12.0,21.5
33,0.99,0.999,4.0,15.916666666666668
34,0.99,0.999,8.0,19.125
35,0.99,0.999,12.0,21.333333333333336
36,0.999,0.9,4.0,20.75
37,0.999,0.9,8.0,14.625000000000002
38,0.999,0.9,12.0,20.861111111111107
39,0.999,0.95,4.0,22.833333333333336
40,0.999,0.95,8.0,22.291666666666668
41,0.999,0.95,12.0,25.833333333333336
42,0.999,0.99,4.0,13.75
43,0.999,0.99,8.0,16.791666666666668
44,0.999,0.99,12.0,17.444444444444443
45,0.999,0.999,4.0,8.416666666666668
46,0.999,0.999,8.0,15.25
47,0.999,0.999,12.0,20.166666666666668
